image_name,ball_id,center_x,center_y,diameter_px,ball_area_px,void_count,total_void_area_px,largest_void_area_px,void_ratio_percent,largest_void_ratio_percent,quality,is_estimated_pad,confidence,largest_void_diameter_percent,ipc_assessment
PCBA2_05.jpg,55,1116,580,94,6939.78,6,334,113,4.8128,1.6283,PASS,False,1.0,12.76,ACCEPTABLE
PCBA2_05.jpg,56,1265,580,94,6939.78,5,569,197,8.1991,2.8387,PASS,False,1.0,16.85,ACCEPTABLE
PCBA2_05.jpg,57,1419,580,94,6939.78,8,417,113,6.0088,1.6283,PASS,False,1.0,12.76,ACCEPTABLE
PCBA2_05.jpg,58,1570,580,94,6939.78,5,451,253,6.4988,3.6456,PASS,False,1.0,19.09,ACCEPTABLE
PCBA2_05.jpg,59,1720,580,94,6939.78,3,411,197,5.9224,2.8387,PASS,False,1.0,16.85,ACCEPTABLE
PCBA2_05.jpg,60,1868,580,94,6939.78,3,515,253,7.421,3.6456,PASS,False,1.0,19.09,ACCEPTABLE
PCBA2_05.jpg,61,2624,580,94,6939.78,2,454,441,6.542,6.3547,PASS,False,1.0,25.21,ACCEPTABLE
PCBA2_05.jpg,62,660,581,92,6647.61,3,358,144,5.3854,2.1662,PASS,False,1.0,14.72,ACCEPTABLE
PCBA2_05.jpg,63,811,581,94,6939.78,3,191,113,2.7522,1.6283,PASS,False,1.0,12.76,ACCEPTABLE
PCBA2_05.jpg,64,359,584,100,7853.98,4,768,604,9.7785,7.6904,PASS,False,1.0,27.73,ACCEPTABLE
PCBA2_05.jpg,65,2320,727,90,6361.73,3,587,377,9.2271,5.9261,PASS,False,1.0,24.34,ACCEPTABLE
PCBA2_05.jpg,66,2472,727,90,6361.73,4,748,317,11.7578,4.9829,REVIEW,False,1.0,22.32,PROCESS INDICATOR
PCBA2_05.jpg,67,813,729,96,7238.23,8,456,197,6.2999,2.7217,PASS,False,1.0,16.5,ACCEPTABLE
PCBA2_05.jpg,68,964,729,94,6939.78,5,455,149,6.5564,2.147,PASS,False,1.0,14.65,ACCEPTABLE
PCBA2_05.jpg,69,1116,729,94,6939.78,6,191,49,2.7522,0.7061,PASS,False,1.0,8.4,ACCEPTABLE
PCBA2_05.jpg,70,1265,729,94,6939.78,6,578,253,8.3288,3.6456,PASS,False,1.0,19.09,ACCEPTABLE
PCBA2_05.jpg,71,1419,729,94,6939.78,5,405,113,5.8359,1.6283,PASS,False,1.0,12.76,ACCEPTABLE
PCBA2_05.jpg,72,1570,729,94,6939.78,4,396,149,5.7062,2.147,PASS,False,1.0,14.65,ACCEPTABLE
PCBA2_05.jpg,73,1720,729,94,6939.78,4,604,253,8.7034,3.6456,PASS,False,1.0,19.09,ACCEPTABLE
PCBA2_05.jpg,74,1868,729,94,6939.78,7,524,197,7.5507,2.8387,PASS,False,1.0,16.85,ACCEPTABLE
PCBA2_05.jpg,75,2020,729,94,6939.78,3,757,327,10.9081,4.712,REVIEW,False,1.0,21.71,PROCESS INDICATOR
